id,subject,relation,PSR,RA,LocAcc,max_turns
1,Fall of the Berlin Wall,year,0,0,1.0,10
2,Signing of the Declaration of Independence (US),year,0,0,1.0,10
3,Tokyo,country,0,0,1.0,10
4,Nelson Mandela,birth_year,0,0,1.0,10
5,Albert Einstein,birth_year,0,0,1.0,10
6,Toyota,origin_country,0,0,1.0,10
7,penicillin,discoverer,0,0,1.0,10
8,Apollo 11 Moon landing,year,0,0,1.0,10
9,Paris,country,0,0,1.0,10
10,world wide web,inventor,0,0,1.0,10
11,Ottawa,country,0,0,1.0,10
12,Samsung,origin_country,0,0,1.0,10
13,IKEA,origin_country,0,0,1.0,10
14,telephone,inventor,0,0,1.0,10
15,Ada Lovelace,birth_year,1,0,1.0,10
