id,subject,relation,PSR,RA,LocAcc,max_turns
1,Signing of the Declaration of Independence (US),year,1,0,1.0,11
2,Ottawa,country,1,0,1.0,11
3,telephone,inventor,1,0,1.0,11
4,Albert Einstein,birth_year,1,0,1.0,11
5,Apollo 11 Moon landing,year,1,0,1.0,11
6,Tokyo,country,1,0,1.0,11
7,Ada Lovelace,birth_year,1,0,1.0,11
8,Nelson Mandela,birth_year,1,0,1.0,11
9,Fall of the Berlin Wall,year,1,0,1.0,11
10,IKEA,origin_country,1,0,1.0,11
11,penicillin,discoverer,1,0,1.0,11
12,Paris,country,1,0,1.0,11
13,Samsung,origin_country,1,0,1.0,11
14,Toyota,origin_country,1,0,1.0,11
15,world wide web,inventor,1,0,1.0,11
