id,subject,relation,PSR,RA,LocAcc,max_turns
1,Toyota,origin_country,0,0,1.0,4
2,Apollo 11 Moon landing,year,0,0,1.0,4
3,Signing of the Declaration of Independence (US),year,0,0,1.0,4
4,Ada Lovelace,birth_year,1,0,1.0,4
5,penicillin,discoverer,1,0,1.0,4
6,Samsung,origin_country,1,0,1.0,4
7,Fall of the Berlin Wall,year,1,0,1.0,4
8,telephone,inventor,1,0,1.0,4
9,Nelson Mandela,birth_year,1,0,1.0,4
10,Tokyo,country,0,0,1.0,4
11,Paris,country,1,0,1.0,4
12,world wide web,inventor,0,0,1.0,4
13,Albert Einstein,birth_year,0,0,1.0,4
14,Ottawa,country,0,0,1.0,4
15,IKEA,origin_country,0,0,1.0,4
