id,subject,relation,PSR,RA,LocAcc,max_turns
1,Signing of the Declaration of Independence (US),year,1,0,1.0,5
2,Ottawa,country,1,0,1.0,5
3,telephone,inventor,1,0,1.0,5
4,Albert Einstein,birth_year,1,0,1.0,5
5,Apollo 11 Moon landing,year,0,0,1.0,5
6,Tokyo,country,1,0,1.0,5
7,Ada Lovelace,birth_year,1,0,1.0,5
8,Nelson Mandela,birth_year,1,0,1.0,5
9,Fall of the Berlin Wall,year,1,0,1.0,5
10,IKEA,origin_country,1,0,1.0,5
11,penicillin,discoverer,1,0,1.0,5
12,Paris,country,1,0,1.0,5
13,Samsung,origin_country,1,0,1.0,5
14,Toyota,origin_country,1,0,1.0,5
15,world wide web,inventor,1,0,1.0,5
