id,subject,relation,PSR,RA,LocAcc,max_turns
1,IKEA,origin_country,0,0,1.0,13
2,Albert Einstein,birth_year,1,0,1.0,13
3,Louis Vuitton,origin_country,0,0,1.0,13
4,telephone,inventor,1,0,1.0,13
5,Ottawa,country,1,0,1.0,13
6,Apollo 11 Moon landing,year,0,0,1.0,13
7,Charles Darwin,birth_year,0,0,1.0,13
8,Start of World War I,year,0,0,1.0,13
9,Ada Lovelace,birth_year,1,0,1.0,13
10,Tokyo,country,0,0,1.0,13
11,Martin Luther King Jr.,birth_year,1,0,1.0,13
12,world wide web,inventor,0,0,1.0,13
13,Paris,country,1,0,1.0,13
14,Samsung,origin_country,1,0,1.0,13
15,Fall of the Berlin Wall,year,1,0,1.0,13
16,Toyota,origin_country,1,0,1.0,13
17,printing press,inventor,1,0,1.0,13
18,Nike,origin_country,1,0,1.0,13
19,Canberra,country,1,0,1.0,13
20,Signing of the Declaration of Independence (US),year,0,0,1.0,13
21,Cairo,country,1,0,1.0,13
22,Nelson Mandela,birth_year,1,0,1.0,13
23,penicillin,discoverer,1,0,1.0,13
24,radio,inventor,1,0,1.0,13
25,First human in space (Yuri Gagarin),year,0,0,1.0,13
