id,subject,relation,PSR,RA,LocAcc,max_turns
1,2011 Cannes Film Festival,Location,1,0,0.0,5
2,Shanghai,Sister City,1,0,0.0,5
3,Oak Street Beach,Owner,1,0,0.0,5
4,The Constellations,Formation Location,1,0,0.0,5
5,Michel Poniatowski,Native Language,1,0,0.0,5
6,Princeton University Press,Headquarters,1,0,0.0,5
7,Allegro Non Troppo,Original Language,1,0,0.0,5
8,christian worship,Religion,0,0,0.0,5
9,Interstate 255,Location,1,0,0.0,5
10,Toei Company,Formation Location,1,0,0.0,5
11,Persian Risk,Formation Location,1,0,0.0,5
12,Justin Fleming,Place of Birth,1,0,0.0,5
13,Bob Mason,Position,1,0,0.0,5
14,Hilary Putnam,Occupation,0,0,0.0,5
15,Johannes Schilling,Work Location,1,0,0.0,5
16,Lady Gaga,Instrument,1,0,0.0,5
17,Institut Polaire,Formation Location,1,0,0.0,5
18,Marco Pannella,Work Location,1,0,0.0,5
19,Delta Goodrem,Origin Country,0,0,0.0,5
20,CBS Sports Spectacular,Original Network,1,0,0.0,5
21,Edina High School,Location,1,0,0.0,5
22,Angola,Continent,1,0,0.0,5
23,KKBQ,Location,1,0,0.0,5
24,Thenewno2,Formation Location,1,0,0.0,5
25,Austin Currie,Citizenship,1,0,0.0,5
26,Louis McLane,Place of Death,1,0,0.0,5
27,Sunday Night Baseball,Original Network,1,0,0.0,5
28,Charles Lang Freer House,Location,1,0,0.0,5
29,North Side Gang,Formation Location,1,0,0.0,5
30,Five Star Krishna,Occupation,1,0,0.0,5
31,Bernard Giraudeau,Native Language,1,0,0.0,5
32,Google Patents,Developer,1,0,0.0,5
33,The Bronx Is Burning,Original Network,1,0,0.0,5
34,Sinclair Radionics,Formation Location,1,0,0.0,5
35,Cologne,Sister City,1,0,0.0,5
36,Ludwig Klages,Field of Work,1,0,0.0,5
37,Larry Stabbins,Place of Birth,1,0,0.0,5
38,Dick Radatz,Position,0,0,0.0,5
39,"Elizabeth Boleyn, Countess of Wiltshire",Place of Birth,1,0,0.0,5
40,Nintendo Software Planning & Development,Owner,0,0,0.0,5
41,Jens Evensen,Citizenship,1,0,0.0,5
42,Allan Warren,Languages Spoken,1,0,0.0,5
43,Guillaumes,Country,1,0,0.0,5
44,Lewin Brzeski,Country,1,0,0.0,5
45,Space Sentinels,Original Network,1,0,0.0,5
46,omphacite,Namesake,1,0,0.0,5
47,Mandailing language,Country,1,0,0.0,5
48,Patrick Colquhoun,Place of Death,1,0,0.0,5
49,Tom McCall Waterfront Park,Location,1,0,0.0,5
50,Kazi Nazrul Islam,Citizenship,0,0,0.0,5
