id,subject,relation,PSR,RA,LocAcc,max_turns
1,Fall of the Berlin Wall,year,1,0,1.0,5
2,Signing of the Declaration of Independence (US),year,1,0,1.0,5
3,Tokyo,country,1,0,1.0,5
4,Nelson Mandela,birth_year,1,0,1.0,5
5,Albert Einstein,birth_year,0,0,1.0,5
6,Toyota,origin_country,0,0,1.0,5
7,penicillin,discoverer,0,0,1.0,5
8,Apollo 11 Moon landing,year,0,0,1.0,5
9,Paris,country,0,0,1.0,5
10,world wide web,inventor,0,0,1.0,5
11,Ottawa,country,0,0,1.0,5
12,Samsung,origin_country,1,0,1.0,5
13,IKEA,origin_country,0,0,1.0,5
14,telephone,inventor,0,0,1.0,5
15,Ada Lovelace,birth_year,1,0,1.0,5
