id,subject,relation,PSR,RA,LocAcc,max_turns
1,Fall of the Berlin Wall,year,0,0,1.0,7
2,telephone,inventor,0,0,1.0,7
3,Ada Lovelace,birth_year,0,0,1.0,7
4,world wide web,inventor,0,0,1.0,7
5,Apollo 11 Moon landing,year,0,0,1.0,7
6,Samsung,origin_country,0,0,1.0,7
7,Nelson Mandela,birth_year,0,0,1.0,7
8,penicillin,discoverer,0,0,1.0,7
9,Tokyo,country,0,0,1.0,7
10,Paris,country,0,0,1.0,7
11,Signing of the Declaration of Independence (US),year,0,0,1.0,7
12,Ottawa,country,0,0,1.0,7
13,Albert Einstein,birth_year,0,0,1.0,7
14,IKEA,origin_country,0,0,1.0,7
15,Toyota,origin_country,0,0,1.0,7
