id,subject,relation,PSR,RA,LocAcc,max_turns
1,Albert Einstein,birth_year,1,0,1.0,11
2,Paris,country,1,0,1.0,11
3,Tokyo,country,1,0,1.0,11
4,Samsung,origin_country,1,0,1.0,11
5,Fall of the Berlin Wall,year,1,0,1.0,11
6,Ada Lovelace,birth_year,1,0,1.0,11
7,Toyota,origin_country,1,0,1.0,11
8,Apollo 11 Moon landing,year,1,0,1.0,11
9,Ottawa,country,1,0,1.0,11
10,world wide web,inventor,1,0,1.0,11
11,Signing of the Declaration of Independence (US),year,1,0,1.0,11
12,IKEA,origin_country,1,0,1.0,11
13,penicillin,discoverer,1,0,1.0,11
14,Nelson Mandela,birth_year,1,0,1.0,11
15,telephone,inventor,1,0,1.0,11
