id,subject,relation,PSR,RA,LocAcc,max_turns
1,Signing of the Declaration of Independence (US),year,0,0,1.0,7
2,Ottawa,country,1,0,1.0,7
3,telephone,inventor,1,0,1.0,7
4,Albert Einstein,birth_year,0,0,1.0,7
5,Apollo 11 Moon landing,year,0,0,1.0,7
6,Tokyo,country,0,0,1.0,7
7,Ada Lovelace,birth_year,1,0,1.0,7
8,Nelson Mandela,birth_year,1,0,1.0,7
9,Fall of the Berlin Wall,year,1,0,1.0,7
10,IKEA,origin_country,1,0,1.0,7
11,penicillin,discoverer,1,0,1.0,7
12,Paris,country,0,0,1.0,7
13,Samsung,origin_country,1,0,1.0,7
14,Toyota,origin_country,0,0,1.0,7
15,world wide web,inventor,0,0,1.0,7
