id,subject,relation,PSR,RA,LocAcc,max_turns
1,Fall of the Berlin Wall,year,0,0,1.0,1
2,Nelson Mandela,birth_year,0,0,1.0,1
3,Ottawa,country,0,0,1.0,1
4,Paris,country,0,0,1.0,1
5,Start of World War I,year,0,0,1.0,1
6,telephone,inventor,0,0,1.0,1
7,Ada Lovelace,birth_year,1,0,1.0,1
8,Canberra,country,0,0,1.0,1
9,Tokyo,country,0,0,1.0,1
10,First human in space (Yuri Gagarin),year,0,0,1.0,1
11,Toyota,origin_country,0,0,1.0,1
12,Cairo,country,0,0,1.0,1
13,Albert Einstein,birth_year,0,0,1.0,1
14,Samsung,origin_country,0,0,1.0,1
15,Signing of the Declaration of Independence (US),year,0,0,1.0,1
16,printing press,inventor,0,0,1.0,1
17,Apollo 11 Moon landing,year,0,0,1.0,1
18,world wide web,inventor,0,0,1.0,1
19,IKEA,origin_country,0,0,1.0,1
20,Martin Luther King Jr.,birth_year,0,0,1.0,1
21,Louis Vuitton,origin_country,0,0,1.0,1
22,penicillin,discoverer,0,0,1.0,1
23,radio,inventor,0,0,1.0,1
24,Nike,origin_country,0,0,1.0,1
25,Charles Darwin,birth_year,0,0,1.0,1
