id,subject,relation,PSR,RA,LocAcc,max_turns
1,Toyota,origin_country,0,0,1.0,10
2,Apollo 11 Moon landing,year,0,0,1.0,10
3,Signing of the Declaration of Independence (US),year,0,0,1.0,10
4,Ada Lovelace,birth_year,1,0,1.0,10
5,penicillin,discoverer,0,0,1.0,10
6,Samsung,origin_country,0,0,1.0,10
7,Fall of the Berlin Wall,year,0,0,1.0,10
8,telephone,inventor,0,0,1.0,10
9,Nelson Mandela,birth_year,0,0,1.0,10
10,Tokyo,country,0,0,1.0,10
11,Paris,country,0,0,1.0,10
12,world wide web,inventor,0,0,1.0,10
13,Albert Einstein,birth_year,0,0,1.0,10
14,Ottawa,country,0,0,1.0,10
15,IKEA,origin_country,0,0,1.0,10
