id,subject,relation,PSR,RA,LocAcc,max_turns
1,Albert Einstein,birth_year,1,0,1.0,12
2,Paris,country,1,0,1.0,12
3,Tokyo,country,1,0,1.0,12
4,Samsung,origin_country,1,0,1.0,12
5,Fall of the Berlin Wall,year,1,0,1.0,12
6,Ada Lovelace,birth_year,1,0,1.0,12
7,Toyota,origin_country,0,0,1.0,12
8,Apollo 11 Moon landing,year,1,0,1.0,12
9,Ottawa,country,1,0,1.0,12
10,world wide web,inventor,1,0,1.0,12
11,Signing of the Declaration of Independence (US),year,1,0,1.0,12
12,IKEA,origin_country,1,0,1.0,12
13,penicillin,discoverer,1,0,1.0,12
14,Nelson Mandela,birth_year,1,0,1.0,12
15,telephone,inventor,1,0,1.0,12
