id,subject,relation,PSR,RA,LocAcc,max_turns
1,2011 Cannes Film Festival,Location,0,0,0.0,1
2,Shanghai,Sister City,1,0,0.0,1
3,Oak Street Beach,Owner,0,0,0.0,1
4,The Constellations,Formation Location,1,0,0.0,1
5,Michel Poniatowski,Native Language,1,0,0.0,1
6,Princeton University Press,Headquarters,1,0,0.0,1
7,Allegro Non Troppo,Original Language,0,0,0.0,1
8,christian worship,Religion,0,0,0.0,1
9,Interstate 255,Location,1,0,0.0,1
10,Toei Company,Formation Location,1,0,0.0,1
11,Persian Risk,Formation Location,1,0,0.0,1
12,Justin Fleming,Place of Birth,1,0,0.0,1
13,Bob Mason,Position,1,0,0.0,1
14,Hilary Putnam,Occupation,0,0,0.0,1
15,Johannes Schilling,Work Location,1,0,0.0,1
16,Lady Gaga,Instrument,1,0,0.0,1
17,Institut Polaire,Formation Location,1,0,0.0,1
18,Marco Pannella,Work Location,1,0,0.0,1
19,Delta Goodrem,Origin Country,0,0,0.0,1
20,CBS Sports Spectacular,Original Network,0,0,0.0,1
21,Edina High School,Location,1,0,0.0,1
22,Angola,Continent,0,0,0.0,1
23,KKBQ,Location,1,0,0.0,1
24,Thenewno2,Formation Location,1,0,0.0,1
25,Austin Currie,Citizenship,0,0,0.0,1
26,Louis McLane,Place of Death,0,0,0.0,1
27,Sunday Night Baseball,Original Network,1,0,0.0,1
28,Charles Lang Freer House,Location,1,0,0.0,1
29,North Side Gang,Formation Location,1,0,0.0,1
30,Five Star Krishna,Occupation,1,0,0.0,1
31,Bernard Giraudeau,Native Language,0,0,0.0,1
32,Google Patents,Developer,1,0,0.0,1
33,The Bronx Is Burning,Original Network,0,0,0.0,1
34,Sinclair Radionics,Formation Location,1,0,0.0,1
35,Cologne,Sister City,1,0,0.0,1
36,Ludwig Klages,Field of Work,1,0,0.0,1
37,Larry Stabbins,Place of Birth,1,0,0.0,1
38,Dick Radatz,Position,0,0,0.0,1
39,"Elizabeth Boleyn, Countess of Wiltshire",Place of Birth,1,0,0.0,1
40,Nintendo Software Planning & Development,Owner,0,0,0.0,1
41,Jens Evensen,Citizenship,0,0,0.0,1
42,Allan Warren,Languages Spoken,1,0,0.0,1
43,Guillaumes,Country,1,0,0.0,1
44,Lewin Brzeski,Country,0,0,0.0,1
45,Space Sentinels,Original Network,1,0,0.0,1
46,omphacite,Namesake,1,0,0.0,1
47,Mandailing language,Country,0,0,0.0,1
48,Patrick Colquhoun,Place of Death,1,0,0.0,1
49,Tom McCall Waterfront Park,Location,1,0,0.0,1
50,Kazi Nazrul Islam,Citizenship,1,0,0.0,1
