id,subject,relation,PSR,RA,LocAcc,max_turns
1,Fall of the Berlin Wall,year,0,0,1.0,1
2,telephone,inventor,0,0,1.0,1
3,Ada Lovelace,birth_year,0,0,1.0,1
4,world wide web,inventor,0,0,1.0,1
5,Apollo 11 Moon landing,year,0,0,1.0,1
6,Samsung,origin_country,0,0,1.0,1
7,Nelson Mandela,birth_year,0,0,1.0,1
8,penicillin,discoverer,0,0,1.0,1
9,Tokyo,country,0,0,1.0,1
10,Paris,country,0,0,1.0,1
11,Signing of the Declaration of Independence (US),year,0,0,1.0,1
12,Ottawa,country,0,0,1.0,1
13,Albert Einstein,birth_year,0,0,1.0,1
14,IKEA,origin_country,0,0,1.0,1
15,Toyota,origin_country,0,0,1.0,1
