id,subject,relation,PSR,RA,LocAcc,max_turns
1,Signing of the Declaration of Independence (US),year,0,0,1.0,3
2,Ottawa,country,1,0,1.0,3
3,telephone,inventor,1,0,1.0,3
4,Albert Einstein,birth_year,1,0,1.0,3
5,Apollo 11 Moon landing,year,0,0,1.0,3
6,Tokyo,country,1,0,1.0,3
7,Ada Lovelace,birth_year,1,0,1.0,3
8,Nelson Mandela,birth_year,1,0,1.0,3
9,Fall of the Berlin Wall,year,1,0,1.0,3
10,IKEA,origin_country,0,0,1.0,3
11,penicillin,discoverer,1,0,1.0,3
12,Paris,country,0,0,1.0,3
13,Samsung,origin_country,1,0,1.0,3
14,Toyota,origin_country,0,0,1.0,3
15,world wide web,inventor,0,0,1.0,3
