id,subject,relation,PSR,RA,LocAcc,max_turns
1,Ottawa,country,0,0,1.0,1
2,Toyota,origin_country,1,0,1.0,1
3,Tokyo,country,0,0,1.0,1
4,Paris,country,0,0,1.0,1
5,Albert Einstein,birth_year,0,0,1.0,1
6,Nelson Mandela,birth_year,1,0,1.0,1
7,Signing of the Declaration of Independence (US),year,0,0,1.0,1
8,world wide web,inventor,0,0,1.0,1
9,telephone,inventor,1,0,1.0,1
10,Ada Lovelace,birth_year,1,0,1.0,1
11,Samsung,origin_country,1,0,1.0,1
12,IKEA,origin_country,0,0,1.0,1
13,penicillin,discoverer,0,0,1.0,1
14,Apollo 11 Moon landing,year,0,0,1.0,1
15,Fall of the Berlin Wall,year,1,0,1.0,1
