id,subject,relation,PSR,RA,LocAcc,max_turns
1,Albert Einstein,birth_year,1,0,1.0,6
2,Paris,country,1,0,1.0,6
3,Tokyo,country,1,0,1.0,6
4,Samsung,origin_country,1,0,1.0,6
5,Fall of the Berlin Wall,year,1,0,1.0,6
6,Ada Lovelace,birth_year,1,0,1.0,6
7,Toyota,origin_country,0,0,1.0,6
8,Apollo 11 Moon landing,year,1,0,1.0,6
9,Ottawa,country,1,0,1.0,6
10,world wide web,inventor,1,0,1.0,6
11,Signing of the Declaration of Independence (US),year,1,0,1.0,6
12,IKEA,origin_country,0,0,1.0,6
13,penicillin,discoverer,1,0,1.0,6
14,Nelson Mandela,birth_year,1,0,1.0,6
15,telephone,inventor,1,0,1.0,6
