id,subject,relation,PSR,RA,LocAcc,max_turns
1,Ottawa,country,1,0,1.0,6
2,Toyota,origin_country,0,0,1.0,6
3,Tokyo,country,0,0,1.0,6
4,Paris,country,1,0,1.0,6
5,Albert Einstein,birth_year,0,0,1.0,6
6,Nelson Mandela,birth_year,1,0,1.0,6
7,Signing of the Declaration of Independence (US),year,0,0,1.0,6
8,world wide web,inventor,0,0,1.0,6
9,telephone,inventor,1,0,1.0,6
10,Ada Lovelace,birth_year,1,0,1.0,6
11,Samsung,origin_country,1,0,1.0,6
12,IKEA,origin_country,0,0,1.0,6
13,penicillin,discoverer,0,0,1.0,6
14,Apollo 11 Moon landing,year,0,0,1.0,6
15,Fall of the Berlin Wall,year,1,0,1.0,6
