id,subject,relation,PSR,RA,LocAcc,max_turns
1,Albert Einstein,birth_year,1,0,1.0,13
2,Paris,country,1,0,1.0,13
3,Tokyo,country,1,0,1.0,13
4,Samsung,origin_country,1,0,1.0,13
5,Fall of the Berlin Wall,year,1,0,1.0,13
6,Ada Lovelace,birth_year,1,0,1.0,13
7,Toyota,origin_country,1,0,1.0,13
8,Apollo 11 Moon landing,year,0,0,1.0,13
9,Ottawa,country,1,0,1.0,13
10,world wide web,inventor,0,0,1.0,13
11,Signing of the Declaration of Independence (US),year,0,0,1.0,13
12,IKEA,origin_country,1,0,1.0,13
13,penicillin,discoverer,1,0,1.0,13
14,Nelson Mandela,birth_year,1,0,1.0,13
15,telephone,inventor,1,0,1.0,13
