id,subject,relation,PSR,RA,LocAcc,max_turns
1,Ottawa,country,1,0,1.0,10
2,Toyota,origin_country,1,0,1.0,10
3,Tokyo,country,0,0,1.0,10
4,Paris,country,0,0,1.0,10
5,Albert Einstein,birth_year,0,0,1.0,10
6,Nelson Mandela,birth_year,1,0,1.0,10
7,Signing of the Declaration of Independence (US),year,0,0,1.0,10
8,world wide web,inventor,1,0,1.0,10
9,telephone,inventor,1,0,1.0,10
10,Ada Lovelace,birth_year,1,0,1.0,10
11,Samsung,origin_country,1,0,1.0,10
12,IKEA,origin_country,1,0,1.0,10
13,penicillin,discoverer,1,0,1.0,10
14,Apollo 11 Moon landing,year,0,0,1.0,10
15,Fall of the Berlin Wall,year,1,0,1.0,10
