id,subject,relation,PSR,RA,LocAcc,max_turns
1,Toyota,origin_country,0,0,1.0,7
2,Apollo 11 Moon landing,year,0,0,1.0,7
3,Signing of the Declaration of Independence (US),year,1,0,1.0,7
4,Ada Lovelace,birth_year,1,0,1.0,7
5,penicillin,discoverer,0,0,1.0,7
6,Samsung,origin_country,1,0,1.0,7
7,Fall of the Berlin Wall,year,1,0,1.0,7
8,telephone,inventor,1,0,1.0,7
9,Nelson Mandela,birth_year,1,0,1.0,7
10,Tokyo,country,0,0,1.0,7
11,Paris,country,0,0,1.0,7
12,world wide web,inventor,0,0,1.0,7
13,Albert Einstein,birth_year,1,0,1.0,7
14,Ottawa,country,1,0,1.0,7
15,IKEA,origin_country,1,0,1.0,7
