id,subject,relation,PSR,RA,LocAcc,max_turns
1,Ottawa,country,0,0,1.0,4
2,Samsung,origin_country,1,0,1.0,4
3,Toyota,origin_country,0,0,1.0,4
4,Signing of the Declaration of Independence (US),year,1,0,1.0,4
5,Paris,country,0,0,1.0,4
6,First human in space (Yuri Gagarin),year,0,0,1.0,4
7,Apollo 11 Moon landing,year,0,0,1.0,4
8,telephone,inventor,0,0,1.0,4
9,Ada Lovelace,birth_year,1,0,1.0,4
10,Canberra,country,1,0,1.0,4
11,IKEA,origin_country,1,0,1.0,4
12,Cairo,country,1,0,1.0,4
13,world wide web,inventor,0,0,1.0,4
14,Charles Darwin,birth_year,1,0,1.0,4
15,radio,inventor,1,0,1.0,4
16,Nike,origin_country,0,0,1.0,4
17,Fall of the Berlin Wall,year,0,0,1.0,4
18,Louis Vuitton,origin_country,0,0,1.0,4
19,Start of World War I,year,0,0,1.0,4
20,penicillin,discoverer,0,0,1.0,4
21,printing press,inventor,0,0,1.0,4
22,Tokyo,country,1,0,1.0,4
23,Nelson Mandela,birth_year,1,0,1.0,4
24,Albert Einstein,birth_year,0,0,1.0,4
25,Martin Luther King Jr.,birth_year,1,0,1.0,4
