id,subject,relation,PSR,RA,LocAcc,max_turns
1,Fall of the Berlin Wall,year,1,0,1.0,13
2,Nelson Mandela,birth_year,1,0,1.0,13
3,Ottawa,country,1,0,1.0,13
4,Paris,country,1,0,1.0,13
5,Start of World War I,year,0,0,1.0,13
6,telephone,inventor,1,0,1.0,13
7,Ada Lovelace,birth_year,1,0,1.0,13
8,Canberra,country,1,0,1.0,13
9,Tokyo,country,0,0,1.0,13
10,First human in space (Yuri Gagarin),year,0,0,1.0,13
11,Toyota,origin_country,1,0,1.0,13
12,Cairo,country,1,0,1.0,13
13,Albert Einstein,birth_year,1,0,1.0,13
14,Samsung,origin_country,1,0,1.0,13
15,Signing of the Declaration of Independence (US),year,0,0,1.0,13
16,printing press,inventor,1,0,1.0,13
17,Apollo 11 Moon landing,year,0,0,1.0,13
18,world wide web,inventor,0,0,1.0,13
19,IKEA,origin_country,0,0,1.0,13
20,Martin Luther King Jr.,birth_year,1,0,1.0,13
21,Louis Vuitton,origin_country,0,0,1.0,13
22,penicillin,discoverer,1,0,1.0,13
23,radio,inventor,1,0,1.0,13
24,Nike,origin_country,1,0,1.0,13
25,Charles Darwin,birth_year,0,0,1.0,13
